"Winner","Loser","Round","WRank","LRank"
"Cipolla F.","Davydenko N.","1st Round","76","52"
"Almagro N.","Kubot L.","1st Round","10","58"
"Riba P.","Montanes A.","1st Round","88","50"
"Stakhovsky S.","Marchenko I.","1st Round","65","246"
"Del Potro J.M.","Mannarino A.","1st Round","11","91"
"Lopez F.","Mayer L.","1st Round","19","21"
"Anderson K.","Nielsen F.","1st Round","32","240"
"Kavcic B.","Ward J.","1st Round","103","347"
"Berdych T.","Ramos A.","1st Round","7","67"
"Tomic B.","Verdasco F.","1st Round","38","24"
"Kamke T.","Hanescu V.","1st Round","98","90"
"Karlovic I.","Melzer J.","1st Round","57","33"
"Fish M.","Muller G.","1st Round","8","55"
"Berlocq C.","Huta Galung J.","1st Round","61","233"
"Kohlschreiber P.","Monaco J.","1st Round","41","27"
"Wawrinka S.","Paire B.","1st Round","22","84"
"Querrey S.","De Schepper K.","1st Round","95","135"
"Falla A.","Fognini F.","1st Round","71","47"
"Haas T.","Kudla D.","1st Round","190","276"
"Dimitrov G.","Chardy J.","1st Round","78","82"
"Darcis S.","Serra F.","1st Round","85","156"
"Young D.","Gojowczyk P.","1st Round","42","248"
"Lacko L.","Ljubicic I.","1st Round","119","30"
"Dolgopolov O.","Jones G.","1st Round","13","198"
"Rochus O.","Phau B.","1st Round","54","174"
"Baghdatis M.","Becker B.","1st Round","44","304"
"Nadal R.","Kuznetsov A.","1st Round","2","167"
"Isner J.","Mitchell B.","1st Round","17","222"
"Lu Y.H.","De Voest R.","1st Round","79","126"
"Beck A.","Prodon E.","1st Round","93","96"
"Federer R.","Kudryavtsev A.","1st Round","3","172"
"Nalbandian D.","Nieminen J.","1st Round","87","49"
"Bogomolov A.","Gimeno-Traver D.","1st Round","34","104"
"Ferrer D.","Machado R.","1st Round","5","70"
"Nishikori K.","Robert S.","1st Round","26","106"
"Petzschner P.","Rosol L.","1st Round","63","69"
"Gasquet R.","Seppi A.","1st Round","18","40"
"Giraldo S.","Viola Mat.","1st Round","56","153"
"Golubev A.","Youzhny M.","1st Round","146","35"
"Djokovic N.","Lorenzi P.","1st Round","1","109"
"Roger-Vasselin E.","Malisse X.","1st Round","101","64"
"Chela J.I.","Russell M.","1st Round","29","97"
"Raonic M.","Volandri F.","1st Round","25","72"
"Llodra M.","Gulbis E.","1st Round","46","73"
"Tipsarevic J.","Tursunov D.","1st Round","9","43"
"Ito T.","Starace P.","1st Round","117","62"
"Duckworth J.","Zopp J.","1st Round","250","148"
"Sweeting R.","Bachinger M.","1st Round","68","89"
"Granollers M.","Levine J.","1st Round","28","158"
"Monfils G.","Matosevic M.","1st Round","15","203"
"Murray A.","Harrison R.","1st Round","4","77"
"Andujar P.","Kunitsyn I.","1st Round","45","74"
"Mello R.","Bautista R.","1st Round","108","175"
"Bellucci T.","Sela D.","1st Round","37","75"
"Mahut N.","Stepanek R.","1st Round","81","31"
"Gil F.","Dodig I.","1st Round","107","36"
"Simon G.","Udomchoke D.","1st Round","14","201"
"Ebden M.","Souza J.","1st Round","94","105"
"Roddick A.","Haase R.","1st Round","16","53"
"Kukushkin M.","Garcia-Lopez G.","1st Round","92","66"
"Benneteau J.","Beck K.","1st Round","39","100"
"Hewitt L.","Stebe C.M.","1st Round","181","83"
"Tsonga J.W.","Istomin D.","1st Round","6","60"
"Troicki V.","Ferrero J.C.","1st Round","23","48"
"Falla A.","Fish M.","2nd Round","71","8"
"Kohlschreiber P.","Riba P.","2nd Round","41","88"
"Berdych T.","Rochus O.","2nd Round","7","54"
"Lu Y.H.","Serra F.","2nd Round","79","156"
"Anderson K.","Stakhovsky S.","2nd Round","32","65"
"Del Potro J.M.","Kavcic B.","2nd Round","11","103"
"Lopez F.","Cipolla F.","2nd Round","19","76"
"Nadal R.","Haas T.","2nd Round","2","190"
"Isner J.","Nalbandian D.","2nd Round","17","87"
"Lacko L.","Young D.","2nd Round","119","42"
"Federer R.","Beck A.","2nd Round","3","93"
"Dolgopolov O.","Kamke T.","2nd Round","13","98"
"Karlovic I.","Berlocq C.","2nd Round","57","61"
"Almagro N.","Dimitrov G.","2nd Round","10","78"
"Tomic B.","Querrey S.","2nd Round","38","95"
"Wawrinka S.","Baghdatis M.","2nd Round","22","44"
"Raonic M.","Petzschner P.","2nd Round","25","63"
"Chela J.I.","Andujar P.","2nd Round","29","45"
"Llodra M.","Bogomolov A.","2nd Round","46","34"
"Tsonga J.W.","Mello R.","2nd Round","6","108"
"Tipsarevic J.","Duckworth J.","2nd Round","9","250"
"Ferrer D.","Sweeting R.","2nd Round","5","68"
"Gil F.","Granollers M.","2nd Round","107","28"
"Mahut N.","Ito T.","2nd Round","81","117"
"Djokovic N.","Giraldo S.","2nd Round","1","56"
"Nishikori K.","Ebden M.","2nd Round","26","94"
"Gasquet R.","Golubev A.","2nd Round","18","146"
"Murray A.","Roger-Vasselin E.","2nd Round","4","101"
"Kukushkin M.","Troicki V.","2nd Round","92","23"
"Benneteau J.","Simon G.","2nd Round","39","14"
"Monfils G.","Bellucci T.","2nd Round","15","37"
"Hewitt L.","Roddick A.","2nd Round","181","16"
"Nadal R.","Lacko L.","3rd Round","2","119"
"Federer R.","Karlovic I.","3rd Round","3","57"
"Berdych T.","Anderson K.","3rd Round","7","32"
"Lopez F.","Isner J.","3rd Round","19","17"
"Kohlschreiber P.","Falla A.","3rd Round","41","71"
"Almagro N.","Wawrinka S.","3rd Round","10","22"
"Tomic B.","Dolgopolov O.","3rd Round","38","13"
"Del Potro J.M.","Lu Y.H.","3rd Round","11","79"
"Tsonga J.W.","Gil F.","3rd Round","6","107"
"Ferrer D.","Chela J.I.","3rd Round","5","29"
"Djokovic N.","Mahut N.","3rd Round","1","81"
"Gasquet R.","Tipsarevic J.","3rd Round","18","9"
"Nishikori K.","Benneteau J.","3rd Round","26","39"
"Kukushkin M.","Monfils G.","3rd Round","92","15"
"Murray A.","Llodra M.","3rd Round","4","46"
"Hewitt L.","Raonic M.","3rd Round","181","25"
"Nadal R.","Lopez F.","4th Round","2","19"
"Berdych T.","Almagro N.","4th Round","7","10"
"Del Potro J.M.","Kohlschreiber P.","4th Round","11","41"
"Federer R.","Tomic B.","4th Round","3","38"
"Murray A.","Kukushkin M.","4th Round","4","92"
"Nishikori K.","Tsonga J.W.","4th Round","26","6"
"Ferrer D.","Gasquet R.","4th Round","5","18"
"Djokovic N.","Hewitt L.","4th Round","1","181"
"Federer R.","Del Potro J.M.","Quarterfinals","3","11"
"Nadal R.","Berdych T.","Quarterfinals","2","7"
"Murray A.","Nishikori K.","Quarterfinals","4","26"
"Djokovic N.","Ferrer D.","Quarterfinals","1","5"
"Nadal R.","Federer R.","Semifinals","2","3"
